,geometry,x,y,cluster
61670779,POINT (-13628958.280499486 4547287.332260494),-13628958.280499486,4547287.332260494,79
61671096,POINT (-13628981.279106282 4547254.265426061),-13628981.279106282,4547254.265426061,79
61671382,POINT (-13629041.447291058 4547274.5871521635),-13629041.447291058,4547274.5871521635,248
61672275,POINT (-13629003.242441816 4547251.322088563),-13629003.242441816,4547251.322088563,248
61673273,POINT (-13629208.560110636 4547247.8858487075),-13629208.560110636,4547247.8858487075,234
61674029,POINT (-13629630.917390654 4547283.79742778),-13629630.917390654,4547283.79742778,234
61675193,POINT (-13628040.729596622 4547284.994482549),-13628040.729596622,4547284.994482549,140
61676294,POINT (-13630928.22360441 4546940.431469068),-13630928.22360441,4546940.431469068,86
61677300,POINT (-13630536.690691393 4547033.0808599265),-13630536.690691393,4547033.0808599265,214
61677421,POINT (-13630850.25543306 4546952.880434888),-13630850.25543306,4546952.880434888,86
61677472,POINT (-13630768.457871225 4546967.441800671),-13630768.457871225,4546967.441800671,86
61678646,POINT (-13630633.516384484 4546991.213203649),-13630633.516384484,4546991.213203649,214
61678786,POINT (-13630993.980027622 4546928.982376763),-13630993.980027622,4546928.982376763,86
61690511,POINT (-13625443.11154286 4550498.160124475),-13625443.11154286,4550498.160124475,167
61690921,POINT (-13626133.804455435 4550783.179202275),-13626133.804455435,4550783.179202275,283
61692662,POINT (-13626157.459847227 4550808.438535241),-13626157.459847227,4550808.438535241,283
61692712,POINT (-13625678.507738091 4550371.332525313),-13625678.507738091,4550371.332525313,202
61692857,POINT (-13625585.144081162 4550899.164140804),-13625585.144081162,4550899.164140804,247
140982581,POINT (-13627905.799241833 4548587.415267902),-13627905.799241833,4548587.415267902,224
174130096,POINT (-13627761.896536082 4546769.569508795),-13627761.896536082,4546769.569508795,95
265506505,POINT (-13626432.697288215 4544585.295705312),-13626432.697288215,4544585.295705312,257
274369355,POINT (-13627571.651526317 4546055.9170269985),-13627571.651526317,4546055.9170269985,148
275723361,POINT (-13628092.793722467 4546277.559615256),-13628092.793722467,4546277.559615256,259
281652616,POINT (-13627246.064279646 4546540.0023675095),-13627246.064279646,4546540.0023675095,24
281652933,POINT (-13627249.54857971 4545400.029044772),-13627249.54857971,4545400.029044772,98
281652962,POINT (-13626386.488567587 4546039.850234929),-13626386.488567587,4546039.850234929,60
286132370,POINT (-13629629.848723542 4551147.59292932),-13629629.848723542,4551147.59292932,91
293573360,POINT (-13629282.687759554 4549814.354660739),-13629282.687759554,4549814.354660739,108
293573361,POINT (-13629366.76737095 4550129.993860567),-13629366.76737095,4550129.993860567,108
295082904,POINT (-13628211.248792619 4546270.504718133),-13628211.248792619,4546270.504718133,259
295083057,POINT (-13628215.067051154 4546222.73995155),-13628215.067051154,4546222.73995155,259
297836932,POINT (-13628524.39052022 4543358.620244095),-13628524.39052022,4543358.620244095,11
302448211,POINT (-13628006.16489473 4546248.903525924),-13628006.16489473,4546248.903525924,67
302448629,POINT (-13628242.54070148 4546716.549780331),-13628242.54070148,4546716.549780331,292
302449219,POINT (-13628064.140085537 4546243.355378182),-13628064.140085537,4546243.355378182,259
302742486,POINT (-13625918.312185157 4549022.389908597),-13625918.312185157,4549022.389908597,36
317081652,POINT (-13626301.885754583 4549163.230259623),-13626301.885754583,4549163.230259623,132
317081655,POINT (-13625745.666786885 4548309.090048917),-13625745.666786885,4548309.090048917,171
317081666,POINT (-13626471.169304235 4549274.9714397015),-13626471.169304235,4549274.9714397015,162
317124778,POINT (-13624748.70055929 4547744.110341792),-13624748.70055929,4547744.110341792,210
317124793,POINT (-13624148.354545442 4548594.528074056),-13624148.354545442,4548594.528074056,193
317124795,POINT (-13624149.46774035 4548586.668775657),-13624149.46774035,4548586.668775657,193
317124800,POINT (-13624154.811075909 4548664.332425587),-13624154.811075909,4548664.332425587,193
317124802,POINT (-13624579.606252776 4548728.010290084),-13624579.606252776,4548728.010290084,193
317124805,POINT (-13624865.964510893 4548634.233114915),-13624865.964510893,4548634.233114915,116
317124806,POINT (-13624880.436044695 4548620.655354214),-13624880.436044695,4548620.655354214,116
317124809,POINT (-13624907.397625366 4548416.878392403),-13624907.397625366,4548416.878392403,116
317124810,POINT (-13624873.48970847 4548380.399525852),-13624873.48970847,4548380.399525852,116
317124812,POINT (-13624968.322782679 4548336.554632608),-13624968.322782679,4548336.554632608,116
317129195,POINT (-13624803.224845883 4547970.718238399),-13624803.224845883,4547970.718238399,277
317129230,POINT (-13624814.935656311 4547958.676488991),-13624814.935656311,4547958.676488991,277
318304424,POINT (-13633625.094116164 4539690.535241962),-13633625.094116164,4539690.535241962,187
318312719,POINT (-13630268.254871294 4539634.8917887835),-13630268.254871294,4539634.8917887835,57
319020714,POINT (-13627977.39993831 4546485.054585089),-13627977.39993831,4546485.054585089,67
331389010,POINT (-13626317.882365411 4551023.997668255),-13626317.882365411,4551023.997668255,255
331389382,POINT (-13626316.32389254 4551146.494047855),-13626316.32389254,4551146.494047855,255
331665706,POINT (-13626294.961682256 4551196.732772987),-13626294.961682256,4551196.732772987,255
331665816,POINT (-13626283.751809534 4551194.47864664),-13626283.751809534,4551194.47864664,255
331666407,POINT (-13626095.132064335 4550898.699240498),-13626095.132064335,4550898.699240498,283
331675911,POINT (-13626511.589411339 4551244.210422617),-13626511.589411339,4551244.210422617,20
