,geometry,top_tags,name,centroids,lon,lat,top_category
0,"POLYGON ((-122.387991 37.7830632, -122.3891406 37.7832603, -122.3902863082732 37.784955849263795, -122.38809889925109 37.78733587009925, -122.38746701365832 37.787632218561335, -122.38731779968 37.78720789552299, -122.387991 37.7830632))","wheelchair, restaurant, bicycle rental, american, coffee shop",Cluster # 0: ['Beale Street' 'Brannan Street'],POINT (-122.38858796212759 37.78517604262193),-122.38858796212759,37.78517604262193,wheelchair
1,"POLYGON ((-122.4691241 37.7603184, -122.4664345 37.7635407, -122.46606622383183 37.763504088442275, -122.4658483 37.7620626, -122.4691241 37.7603184))","restaurant, cafe, indian, coffee shop, chinese",Cluster # 1: 9th Avenue,POINT (-122.46705219039137 37.76206083066729),-122.46705219039137,37.76206083066729,restaurant
2,"POLYGON ((-122.4261309 37.7582605, -122.4286482 37.7611718, -122.4266171303598 37.76306605041494, -122.4264617 37.7631425, -122.4240071 37.761662, -122.4238274 37.7600692, -122.4261309 37.7582605))","restaurant, cafe, religion christian, place of worship, bicycle rental",Cluster # 2: 18th Street,POINT (-122.4260620380131 37.76080862328853),-122.4260620380131,37.76080862328853,restaurant
3,"POLYGON ((-122.4329092 37.7834918, -122.43458338595066 37.783823867756276, -122.43554535453684 37.78551508122844, -122.43412735530647 37.78720942655912, -122.4333688 37.7871595, -122.431836 37.7851115, -122.4319524 37.7847709, -122.4325061 37.7836875, -122.4329092 37.7834918))","restaurant, wheelchair, fast food, japanese, place of worship",Cluster # 3: Fillmore Street,POINT (-122.43365955318173 37.78525568021287),-122.43365955318173,37.78525568021287,restaurant
4,"POLYGON ((-122.4354016 37.7227363, -122.4377294 37.7238458, -122.4351736 37.7244407, -122.435001 37.7241479, -122.4354016 37.7227363))","bank, denomination presbyterian, place of worship, restaurant, religion christian",Cluster # 4: Ocean Avenue,POINT (-122.43602988263859 37.723682200134945),-122.43602988263859,37.723682200134945,bank
5,"POLYGON ((-122.421809 37.7968098, -122.424077 37.7972321, -122.4242301359831 37.79773672460115, -122.4238282 37.7991257, -122.4223108 37.799314, -122.42205468438188 37.79848544056001, -122.42197182813553 37.79800100300293, -122.421809 37.7968098))","restaurant, cafe, pub, coffee shop, bar",Cluster # 5: Polk Street,POINT (-122.4229869021365 37.7980508622148),-122.4229869021365,37.7980508622148,restaurant
6,"POLYGON ((-122.38719828011506 37.73162915232474, -122.390754 37.7333559, -122.3913168 37.7336954, -122.3907785 37.7351836, -122.38970594249798 37.7358504590186, -122.3838102 37.7329217, -122.38719828011506 37.73162915232474))","place of worship, religion christian, denomination baptist, cafe, clock",Cluster # 6: Palou Avenue,POINT (-122.38805087960606 37.733620766987286),-122.38805087960606,37.733620766987286,place of worship
7,"POLYGON ((-122.477202 37.7783182, -122.4794508 37.780145, -122.479842 37.7805143, -122.47902165610176 37.78206510657939, -122.4786098 37.7821771, -122.4782848 37.7821808, -122.4767913 37.7806325, -122.477202 37.7783182))","restaurant, cafe, bank, wheelchair, japanese",Cluster # 7: Geary Boulevard,POINT (-122.47817794394822 37.78044868844489),-122.47817794394822,37.78044868844489,restaurant
8,"POLYGON ((-122.4714906 37.730628, -122.4754281 37.7307539, -122.47535203660787 37.73286479742299, -122.47411059752453 37.7350511156084, -122.4734527640706 37.735354249542986, -122.4714906 37.730628))","place of worship, restaurant, religion christian, bank, cafe",Cluster # 8: Ocean Avenue,POINT (-122.47370741535569 37.732467411686116),-122.47370741535569,37.732467411686116,place of worship
9,"POLYGON ((-122.396085 37.766656, -122.3967251 37.7667154, -122.3954096 37.7687392, -122.392945 37.7682828, -122.392759 37.7679911, -122.3931758 37.7668799, -122.3955386 37.7666634, -122.396085 37.766656))","wheelchair, outdoor seating, restaurant, cafe, vending machine",Cluster # 9: Owens Street,POINT (-122.39464769905298 37.76759205464855),-122.39464769905298,37.76759205464855,wheelchair
10,"POLYGON ((-122.4086639 37.7887732, -122.4097357 37.789209, -122.4093108 37.7902062, -122.4091292 37.7902305, -122.4089687 37.7902511, -122.4080101 37.7903589, -122.4072909 37.7902413, -122.4068135 37.7893321, -122.4066607 37.788933, -122.40707554446232 37.78888044859774, -122.4086639 37.7887732))","wheelchair, restaurant, indoor seating, drink:wine, burger",Cluster # 10: Sutter Street,POINT (-122.40820788548562 37.789534680071306),-122.40820788548562,37.789534680071306,wheelchair
11,"POLYGON ((-122.4266566 37.7419989, -122.4290592 37.7436848, -122.42725333895471 37.74423798273772, -122.4242579 37.7445388, -122.4252109 37.7420768, -122.4266566 37.7419989))","restaurant, cafe, italian, place of worship, chinese",Cluster # 11: Church Street,POINT (-122.42636973905047 37.74333719168455),-122.42636973905047,37.74333719168455,restaurant
12,"POLYGON ((-122.4376243 37.8000152, -122.437922 37.800047, -122.4390348 37.8005688, -122.4388842 37.8006504, -122.438695907653 37.800727352305735, -122.43788766086126 37.80084804303615, -122.4369311 37.8008439, -122.4364807 37.8006714, -122.4376243 37.8000152))","restaurant, bar, mexican, fast food, outdoor seating",Cluster # 12: Chestnut Street,POINT (-122.43774739514613 37.800508379505764),-122.43774739514613,37.800508379505764,restaurant
13,"POLYGON ((-122.41896149032969 37.77477649321178, -122.4195185 37.7752166, -122.419742 37.7762185, -122.4195624 37.7777196, -122.4175698 37.7770377, -122.417985 37.7759054, -122.418171 37.7756362, -122.41896149032969 37.77477649321178))","cafe, bar, restaurant, wheelchair, fast food",Cluster # 13: Market Street,POINT (-122.41882358197813 37.776344289682896),-122.41882358197813,37.776344289682896,cafe
14,"POLYGON ((-122.5071774 37.7602405, -122.508978 37.7604494, -122.50914590895488 37.76378267414281, -122.5078082 37.7639597, -122.50645066887974 37.76255026882594, -122.5071774 37.7602405))","restaurant, outdoor seating, religion christian, place of worship, fish",Cluster # 14: ['Irving Street' 'Judah Street'],POINT (-122.50795111548103 37.76208971403732),-122.50795111548103,37.76208971403732,restaurant
15,"POLYGON ((-122.469387 37.7780662, -122.47132799374265 37.77895079741549, -122.4711990877716 37.77985516431073, -122.470217 37.7809405, -122.4695178 37.7809733, -122.4672424 37.7806727, -122.4675962 37.779131, -122.469387 37.7780662))","restaurant, denomination lutheran, korean, religion christian, place of worship",Cluster # 15: Geary Boulevard,POINT (-122.46931038528479 37.779656475296434),-122.46931038528479,37.779656475296434,restaurant
