kmeans_constrained,x_min,x_max,y_min,y_max,x_diff,y_diff
0,-13624424.349879935,-13624093.897014925,4548825.084218527,4549468.654095364,330.4528650101274,643.5698768366128
1,-13633200.53271023,-13632835.872322287,4545621.953371454,4546075.687241614,364.66038794256747,453.7338701598346
10,-13626589.446263202,-13626247.138829011,4549629.373436406,4549852.740226145,342.30743419006467,223.36678973864764
100,-13635222.64012854,-13634849.348195927,4548240.513412406,4548702.248948288,373.29193261265755,461.7355358824134
101,-13628118.563302573,-13627634.371707257,4549092.492923446,4549494.766868991,484.1915953159332,402.27394554484636
102,-13624435.402984403,-13623964.187579876,4542578.604609287,4543414.368047631,471.21540452726185,835.7634383440018
103,-13627393.996750962,-13626950.76706642,4551431.9676298015,4551928.433900505,443.22968454286456,496.4662707038224
104,-13624942.997598521,-13624559.34610545,4540714.419347408,4541281.481031962,383.6514930706471,567.0616845535114
105,-13629830.836064171,-13629607.217471067,4547763.809450887,4548261.808881489,223.61859310418367,497.9994306014851
106,-13632362.659361422,-13631560.062196067,4538660.445737162,4539414.878530454,802.5971653554589,754.432793292217
107,-13624702.10171022,-13623991.048973003,4547320.660480164,4547694.67695624,711.0527372173965,374.0164760760963
108,-13629494.116868418,-13628829.242715443,4549428.041759801,4550181.603341216,664.8741529751569,753.5615814151242
109,-13637085.932975296,-13636596.879242381,4548248.271845276,4549143.200642531,489.0537329148501,894.9287972552702
11,-13628740.528443545,-13628206.0501724,4543042.749812383,4543400.304369061,534.4782711453736,357.55455667804927
110,-13627204.219283057,-13626791.880757209,4548306.019653808,4548769.645485734,412.3385258484632,463.6258319253102
111,-13627404.071164878,-13627028.22316811,4549293.437795844,4549599.426282679,375.8479967676103,305.98848683480173
112,-13637775.062469041,-13637297.67163474,4546911.139843491,4547715.281213489,477.39083430171013,804.141369998455
113,-13627576.970327802,-13627319.201185096,4544059.797290625,4544505.015571639,257.76914270594716,445.2182810138911
114,-13626327.366786027,-13626075.439646412,4550157.773160372,4550440.909309653,251.92713961564004,283.13614928070456
115,-13632215.488800097,-13631745.687153103,4548513.357864016,4548621.570866568,469.80164699442685,108.21300255227834
116,-13625392.962112257,-13624739.461041555,4548336.554632608,4548842.507478803,653.5010707024485,505.9528461955488
117,-13632293.830521123,-13632183.490508746,4544028.736130079,4544145.288565263,110.340012377128,116.55243518389761
118,-13634784.052466761,-13634314.7043125,4542925.238016244,4543204.238379067,469.34815426170826,279.000362822786
119,-13630973.568206945,-13630243.964958403,4552021.884825133,4552298.5659185015,729.6032485421747,276.6810933686793
12,-13629851.007155903,-13629566.686044468,4551213.061115292,4551330.39531301,284.32111143507063,117.33419771771878
120,-13628133.814954823,-13627859.334486375,4542813.490017011,4543232.977613862,274.4804684482515,419.48759685084224
121,-13631485.800669894,-13631096.917160759,4549269.308993808,4549483.869886422,388.88350913487375,214.56089261360466
122,-13635610.97817217,-13634941.747657422,4545717.928201381,4546253.753292638,669.230514748022,535.8250912567601
123,-13634045.737076024,-13633609.142033132,4548431.188283837,4548979.866328739,436.5950428918004,548.6780449012294
124,-13630719.097003607,-13630249.679247482,4548795.463334475,4549183.406037777,469.4177561253309,387.94270330201834
125,-13626133.568100449,-13625759.03625773,4547451.488659661,4548014.239412935,374.5318427179009,562.7507532741874
126,-13633278.16135713,-13632603.68212839,4546660.507145734,4547186.582956945,674.479228740558,526.0758112110198
127,-13630898.300925285,-13630432.49564801,4547437.570801668,4548022.110609684,465.80527727492154,584.5398080162704
128,-13625611.626988022,-13625170.5346377,4549635.754473241,4550006.847370611,441.09235032089055,371.0928973695263
129,-13628121.725658124,-13627697.94348862,4551709.615564581,4552115.921663534,423.78216950409114,406.30609895288944
13,-13627703.342483925,-13627461.534286026,4547657.960244382,4548072.461013915,241.80819789879024,414.50076953321695
130,-13637219.84537676,-13636474.332392868,4545085.180874885,4545209.208456509,745.512983892113,124.0275816237554
131,-13634052.459394064,-13633392.438994588,4545619.996147474,4546483.126693729,660.0203994754702,863.1305462550372
132,-13626301.885754583,-13625958.648125302,4548807.435626487,4549267.224313011,343.23762928135693,459.7886865241453
133,-13624910.893057374,-13624560.125341889,4549792.436214225,4550333.25496398,350.76771548576653,540.8187497546896
134,-13629220.345931264,-13628691.058061838,4548374.261202149,4548889.946220456,529.2878694254905,515.6850183065981
135,-13627962.817085015,-13627638.83283901,4549765.235429935,4549994.465185763,323.98424600437284,229.22975582815707
136,-13634234.445876818,-13633731.437625721,4539616.625489792,4539698.781869043,503.0082510970533,82.15637925080955
137,-13632428.699020814,-13632097.5680635,4548583.37294261,4549136.388176232,331.1309573147446,553.0152336219326
138,-13626115.035989288,-13625968.684254741,4552054.046815008,4552192.977619875,146.3517345469445,138.9308048672974
139,-13629176.867451606,-13628662.326501261,4545707.339385661,4546225.528101126,514.5409503448755,518.1887154644355
14,-13637655.740103712,-13637355.70735098,4545610.984473466,4546134.688318893,300.032752731815,523.7038454273716
140,-13628347.136495031,-13627882.310829272,4547157.206142007,4547580.981060114,464.8256657589227,423.7749181063846
141,-13625569.704067789,-13625190.171395877,4546271.574921781,4546712.663085756,379.53267191164196,441.0881639746949
142,-13629616.100766432,-13628843.298597448,4539048.261241071,4539434.555128199,772.8021689839661,386.29388712812215
143,-13636715.41223618,-13636335.311834866,4542525.817355238,4543067.849603882,380.10040131397545,542.0322486441582
144,-13634299.896874791,-13633888.554421213,4543832.851428299,4544209.251452074,411.34245357848704,376.4000237751752
145,-13630706.297067568,-13630655.056705954,4544814.918324577,4544872.138213766,51.24036161415279,57.21988918911666
146,-13632738.924177755,-13632365.737985378,4540630.056035332,4540862.409760709,373.1861923765391,232.35372537653893
147,-13626882.88444093,-13626496.082606273,4551100.031191526,4551571.218734964,386.8018346577883,471.1875434378162
148,-13627780.097272828,-13627328.752397405,4546055.456070382,4546488.997522404,451.3448754232377,433.54145202226937
149,-13631547.547676468,-13631139.71950497,4546594.668798557,4547032.728793497,407.8281714990735,438.059994940646
15,-13633445.869039422,-13632991.062824404,4548121.276491441,4548530.724263859,454.806215018034,409.4477724181488
150,-13631424.420439059,-13631264.555433836,4547670.063186042,4547902.856011805,159.86500522308052,232.7928257631138
151,-13625089.522782823,-13624445.889280433,4542051.9949615495,4542434.519481111,643.6335023902357,382.52451956178993
152,-13628121.781317867,-13627612.717286471,4545343.820042549,4545733.7410406405,509.0640313960612,389.92099809180945
153,-13632922.812844595,-13632464.822195577,4548485.262711113,4548717.193054054,457.99064901843667,231.93034294061363
154,-13631360.454923261,-13630461.616826802,4550841.319431963,4551601.990360269,898.8380964584649,760.6709283059463
155,-13626232.094770215,-13625915.061656024,4549699.128382545,4549980.237665048,317.0331141911447,281.10928250290453
156,-13627057.511326138,-13626619.847616138,4549750.689436437,4550396.027370416,437.66370999999344,645.3379339789972
157,-13630467.884114131,-13630217.348468155,4538946.240682663,4539199.056490464,250.53564597666264,252.81580780074
158,-13628537.21452556,-13627864.752768299,4541938.812956528,4542246.790171927,672.461757261306,307.9772153990343
159,-13637312.819415469,-13636974.630802438,4545611.886375425,4545776.84016622,338.1886130310595,164.953790795058
16,-13625587.748957247,-13625274.841000576,4550025.498152381,4550313.049890365,312.9079566709697,287.5517379846424
160,-13623573.47249571,-13623368.784151416,4541070.359897628,4541343.111330822,204.6883442942053,272.7514331936836
161,-13635831.75811826,-13635088.355426796,4544308.690807735,4545215.323347611,743.4026914648712,906.6325398767367
162,-13626573.560971865,-13626282.125998072,4549175.188889046,4549538.318228835,291.4349737931043,363.1293397890404
163,-13631958.107005434,-13631641.670220904,4551188.984215714,4551766.788825161,316.4367845300585,577.8046094467863
164,-13635728.253255723,-13635245.338172711,4547703.788118674,4547843.667920895,482.9150830116123,139.879802220501
165,-13629679.885482416,-13629370.64128923,4545459.505032711,4545718.885701205,309.2441931851208,259.3806684939191
166,-13627199.243301818,-13626821.712675933,4546955.564102991,4547444.781404841,377.5306258853525,489.21730185020715
167,-13625688.682339549,-13625361.102473991,4550319.350983518,4550580.454784993,327.5798655580729,261.1038014749065
